MOA_groupID,MOA_plantID,MOA_sampleID,MOA_proteomicsPoolID,proteomicsPool,Genotype,Treatment,PlantNumber,LeafNumber,LeafPosition,Dpi,PlantNo/Leaf,CommentTS_FIX,Date:Planting,Date:Treatment,Date:Measurement/Observation,Replicate,BiosampleName,Organism*,Infraspecific name,Life stage,"Material Source: Holding Institute/Stock Centre, accession*",Body part,Treatment
MOAg_43,MOAp_189,MOAs_0997,MOA_pPool11,pool1,D-NAHG,PVY,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_43,MOAp_200,MOAs_1003,MOA_pPool11,pool1,D-NAHG,PVY,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_43,MOAp_190,MOAs_0999,MOA_pPool12,pool2,D-NAHG,PVY,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_43,MOAp_199,MOAs_1001,MOA_pPool12,pool2,D-NAHG,PVY,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_56,MOAp_253,MOAs_1303,MOA_pPool13,pool10,D-WT,MOCK,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_56,MOAp_264,MOAs_1309,MOA_pPool13,pool10,D-WT,MOCK,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_56,MOAp_254,MOAs_1305,MOA_pPool14,pool12,D-WT,MOCK,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_56,MOAp_266,MOAs_1313,MOA_pPool14,pool12,D-WT,MOCK,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_56,MOAp_255,MOAs_1307,MOA_pPool15,pool11,D-WT,MOCK,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_56,MOAp_265,MOAs_1311,MOA_pPool15,pool11,D-WT,MOCK,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_68,MOAp_311,MOAs_1596,MOA_pPool18,pool6,D-WT,PVY,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_68,MOAp_324,MOAs_1606,MOA_pPool18,pool6,D-WT,PVY,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_68,MOAp_312,MOAs_1598,MOA_pPool19,pool4,D-WT,PVY,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_68,MOAp_322,MOAs_1602,MOA_pPool19,pool4,D-WT,PVY,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_68,MOAp_313,MOAs_1600,MOA_pPool20,pool5,D-WT,PVY,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_68,MOAp_323,MOAs_1604,MOA_pPool20,pool5,D-WT,PVY,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:non-transgenic,BBCH-potato:107,holding_institution:NIB;accession:WT,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
