ID baseMean log2FoldChange lfcSE stat pvalue padj evalue positive pch
YHR138C 1660.31084459514 -1.41318856165315 0.117685497544559 -12.0081793520742 3.21852872154836e-33 3.95879032750449e-31 2.01930491989944e-29 TRUE 3
YJR109C 1209.62260076268 -1.41386814151238 0.118341993100491 -11.9473071601201 6.70631382055746e-33 8.0901358839148e-31 4.20754129101775e-29 TRUE 3
YDR258C 2194.91299773582 -1.16687879828057 0.0978105081124496 -11.9299942388506 8.25792092235408e-33 9.7739505558353e-31 5.18101958668495e-29 TRUE 3
YOR355W 759.135767055487 -1.38399587112147 0.116270404562592 -11.9032515310156 1.13824104422119e-32 1.32225667970362e-30 7.14132431144376e-29 TRUE 3
YDR150W 1239.98150422824 -1.1515070650019 0.0977323797618908 -11.7822472737015 4.81908521031881e-32 5.49638573169634e-30 3.02349406095402e-28 TRUE 3
YKL163W 911.956236196409 -1.52168590898349 0.129740767903488 -11.7286642708593 9.08814834033002e-32 1.01803490248018e-29 5.70190426872305e-28 TRUE 3
YMR195W 409.97940244063 -1.55122224755275 0.133881181813237 -11.5865592650406 4.82112825009205e-31 5.30577851102236e-29 3.02477586410775e-27 TRUE 3
YDR334W 780.726055289562 -1.2933220904637 0.112041882217746 -11.5432021032118 7.9894613913078e-31 8.64101574270238e-29 5.01258807690651e-27 TRUE 3
YHR139C 216.880899605942 -2.15273312799018 0.18655828359503 -11.5391988310913 8.37011612405768e-31 8.8992777027481e-29 5.25141085623379e-27 TRUE 3
YIR034C 609.255555985672 -1.94282154617192 0.168965596623525 -11.4983261977333 1.34498330787649e-30 1.40618004838487e-28 8.43842527361709e-27 TRUE 3
YER150W 469.051924158082 -1.77430364608237 0.15445576712458 -11.4874548170886 1.52540096480302e-30 1.56866233642776e-28 9.57036565317416e-27 TRUE 3
YGR236C 475.565821146733 -2.06149982538674 0.181241753326945 -11.3743096584812 5.61453374506391e-30 5.68064035206224e-28 3.5225584716531e-26 TRUE 3
YMR186W 14852.0859971942 -0.892638343683781 0.0788360219925228 -11.3227217853337 1.01277798318333e-29 1.00843750611254e-27 6.3541690664922e-26 TRUE 3
YOR153W 1331.1003305361 -1.51646765199171 0.134204260695815 -11.2996982668748 1.31669618063705e-29 1.29056799080254e-27 8.26095183731686e-26 TRUE 3
YLR312C 3068.53317198357 -1.06902479794784 0.0951756103871763 -11.2321296769101 2.83560202234561e-29 2.736574074796e-27 1.77905670881963e-25 TRUE 3
YHR023W 409.923713920148 -1.48675125918141 0.132652366408243 -11.2078758897212 3.73038121855635e-29 3.54555778545515e-27 2.34044117652225e-25 TRUE 3
YBR150C 506.289069867588 -1.48596973444344 0.13271846194033 -11.1964056297724 4.24613912266838e-29 3.94686499122873e-27 2.66402768556214e-25 TRUE 3
YLR053C 271.106977436902 -1.75731036327883 0.156962497751601 -11.195733939325 4.2784444349363e-29 3.94686499122873e-27 2.68429603847903e-25 TRUE 3
YBR047W 394.335119230084 -1.52111067489945 0.135978246492755 -11.1864266096453 4.75200892940569e-29 4.32019594408143e-27 2.98141040230913e-25 TRUE 3
YLR004C 659.881646946409 1.23305653704424 0.11063283727908 11.1454841742309 7.53334376637799e-29 6.7509522066413e-27 4.72641987902555e-25 TRUE 3
YDL070W 5120.22322665211 -1.08202713963664 0.097983286478685 -11.0429765985858 2.3704788201624e-28 2.09436811815194e-26 1.48723841176989e-24 TRUE 3
YJL200C 844.836174541812 -1.25579134141755 0.114383466421687 -10.978783741244 4.83387952976173e-28 4.21151754030491e-26 3.03277601697251e-24 TRUE 3
YJL144W 376.456703571376 -1.42363747653878 0.130027986631251 -10.9487004561265 6.74077407757818e-28 5.79244873817095e-26 4.22916165627255e-24 TRUE 3
YDL039C 213.958263880843 2.41650893087018 0.220815627492755 10.9435593771526 7.13428349405707e-28 6.04775139975946e-26 4.4760494641714e-24 TRUE 3
YLR070C 346.627078612073 1.50701882519224 0.137771073508689 10.9385721313785 7.53776802902014e-28 6.30458917947245e-26 4.72919566140724e-24 TRUE 3
YDR044W 2155.65883518016 -1.08132874359142 0.0995417714421187 -10.863065102475 1.72848317716224e-27 1.42668091714983e-25 1.08445034535159e-23 TRUE 3
