 baseMean log2FoldChange lfcSE stat pvalue padj evalue positive pch
YBR263W 1755.77649726977 0.705561146389711 0.174128442078 4.05195807169547 0.0000507907686102096 0.00342698153040316 0.318661282260455 TRUE 3
YGR124W 3021.96904212794 -0.415657051789099 0.102939964270917 -4.03785890866616 0.0000539412782959984 0.00359999400801554 0.338427580029094 TRUE 3
YCL064C 5127.08871991464 -1.01848665364575 0.252508118014266 -4.03348083085474 0.0000549566657404369 0.0036283218026482 0.344798120855501 TRUE 3
YER044C 816.235405448727 -0.534617716048242 0.132992083305139 -4.01992135743604 0.0000582175717506122 0.00379098176259725 0.365257045163341 TRUE 3
YML101C 205.607119306748 -0.819569456643475 0.204073743985011 -4.01604557568008 0.0000591828153472779 0.00379098176259725 0.371312983488821 TRUE 3
YOR011W 95.7797369911362 0.928318968348639 0.231173093110289 4.01568779419218 0.0000592726790243218 0.00379098176259725 0.371876788198595 TRUE 3
YFL031W 1808.649011519 -0.808110348854961 0.202123260756711 -3.9981066297345 0.000063851187601362 0.00404171434919961 0.400602351010945 TRUE 3
YPR123C 304.315743341682 -0.722997820296878 0.181026577411758 -3.99387664857834 0.000065001689215531 0.00407255481411592 0.407820598138242 TRUE 3
YMR024W 1827.2590363372 -0.620556471086189 0.156042288634568 -3.97684804879692 0.0000698347573165512 0.00433116575680429 0.438143267404042 TRUE 3
YFL039C 10654.4200017891 -0.582566687566887 0.14672353144349 -3.97050617467765 0.0000717200972572533 0.00440361397159535 0.449971890192007 TRUE 3
YBR218C 1445.52882272916 0.529637765160332 0.133967004442417 3.95349412614498 0.0000770181555014152 0.00468209380968999 0.483211907615879 TRUE 3
YBR208C 337.613401295172 0.894971752512315 0.226789361895251 3.94626866548388 0.0000793785414888604 0.0047782769092314 0.49802096930111 TRUE 3
YMR175W 980.023237670302 1.62448506557611 0.412652187728481 3.93669321013027 0.0000826121107280599 0.00492464427058532 0.518308382707848 TRUE 3
YFL037W 1683.0766459482 -0.477906681963188 0.121488941296563 -3.93374637117453 0.000083632031370552 0.00493750646745374 0.524707364818843 TRUE 3
YLR152C 483.400283910944 -0.740785638723957 0.188513633661122 -3.92961307008498 0.0000850826612886438 0.00497530990773593 0.533808616924951 TRUE 3
YAL062W 524.810808939027 1.17918955347575 0.300531311998955 3.92368284566586 0.000087205522949311 0.00502539987676007 0.547127450983977 TRUE 3
YKR070W 321.840609129125 0.614173406630817 0.156570589058039 3.92266140356124 0.0000875761867774149 0.00502539987676007 0.549452995841501 TRUE 3
YDR405W 1475.78783881536 -0.73400189965264 0.187442386023021 -3.9158800484032 0.0000900750274388193 0.00502782425885773 0.565130722151153 TRUE 3
YIL066C 54.0710961364401 2.12707521310217 0.542935412113056 3.91773158583225 0.0000893861566727381 0.00502782425885773 0.560808746964759 TRUE 3
YMR088C 600.586719292255 0.499579752604896 0.127466981608201 3.91928753863859 0.0000888111106058817 0.00502782425885773 0.557200907941302 TRUE 3
YDR316W 1218.79419589476 -0.834124762152401 0.213862211735768 -3.90029054400215 0.0000960773171024073 0.00531433770567931 0.602789087500504 TRUE 3
YOL023W 669.41652075755 -0.590296337767914 0.151430710790933 -3.89812829038941 0.0000969390591263978 0.00531433770567931 0.60819565695902 TRUE 3
YBL059C-A 345.924785228456 0.628715025786417 0.161696478732743 3.88824191295827 0.000100972961563718 0.0054615008788606 0.63350436085077 TRUE 3
YML087C 713.676900528549 -0.890251257799935 0.229020543982206 -3.88721134934123 0.00010140245931435 0.0054615008788606 0.636199029738232 TRUE 3
YKL069W 209.831475856126 -0.612992749107349 0.15785998779183 -3.88314200249212 0.000103115306928702 0.00550546073514985 0.646945435670679 TRUE 3
YOR040W 132.18772712352 0.752453799477549 0.194732164248584 3.86404476312916 0.000111524770357276 0.0059031214654627 0.699706409221548 TRUE 3
YMR318C 1191.84746231279 -0.86118420954938 0.22315465341838 -3.85913623739136 0.000113788493658813 0.00597146453901804 0.713909009215391 TRUE 3
YFL044C 244.554430802274 0.689895971519313 0.179192197050472 3.85003355545106 0.000118101643660759 0.00609364783258034 0.740969712327602 TRUE 3
YGR161W-C 180.133775129097 -0.882312540519684 0.229140723730261 -3.85052698689353 0.000117863941393772 0.00609364783258034 0.739478368304525 TRUE 3
YBR265W 632.016948564421 0.512052974675151 0.133095446563236 3.84726140448287 0.000119445506493768 0.00611157197615477 0.749401107741901 TRUE 3
YDR391C 577.719888640391 -0.888124693410711 0.230967942511022 -3.8452292718862 0.000120439773471454 0.00611157197615477 0.755639138759903 TRUE 3
